trial,line_length,stim_radius,stim_period,rating
0,30,300,100,18
1,60,350,150,6
2,150,150,200,17
3,30,200,150,12
4,150,200,50,40
5,60,150,50,55
6,60,300,150,20
7,90,350,25,7
8,30,300,50,52
9,150,350,100,22
10,60,300,100,25
11,60,200,100,26
12,60,300,25,40
13,30,250,50,28
14,30,300,200,0
15,120,350,150,1
16,60,250,100,14
17,90,150,200,10
18,120,300,25,79
19,30,250,200,7
20,150,250,150,5
21,60,200,50,9
22,120,250,50,12
23,150,150,100,14
24,30,350,100,5
25,90,250,150,8
26,90,150,25,100
27,60,250,150,0
28,90,350,100,9
29,150,350,25,75
30,120,150,100,21
31,60,300,50,74
32,120,350,50,9
33,30,250,100,72
34,90,300,200,10
35,30,350,200,6
36,60,250,200,7
37,150,300,25,84
38,30,350,25,8
39,150,250,100,1
40,90,200,200,2
41,30,200,50,3
42,150,150,25,93
43,150,350,50,68
44,150,200,200,25
45,120,150,25,81
46,120,250,100,11
47,60,250,50,23
48,120,150,200,10
49,90,300,25,19
50,30,350,150,1
51,30,150,25,18
52,90,200,100,19
53,90,350,150,16
54,60,150,25,99
55,120,350,200,16
56,60,150,150,30
57,30,150,100,0
58,120,300,200,20
59,90,150,150,14
60,30,250,150,1
61,120,250,150,5
62,120,200,50,20
63,90,300,100,17
64,60,150,100,22
65,30,350,50,2
66,30,200,200,0
67,90,200,25,96
68,90,200,50,17
69,30,200,25,11
70,90,250,50,14
71,30,250,25,11
72,60,200,200,4
73,90,250,100,4
74,30,150,50,3
75,120,150,150,36
76,60,350,50,7
77,150,150,50,6
78,30,150,200,0
79,90,350,50,10
80,90,150,100,2
81,60,300,200,0
82,120,200,25,93
83,90,300,50,35
84,30,150,150,33
85,90,350,200,29
86,90,200,150,10
87,120,350,25,48
88,120,350,100,20
89,120,300,150,9
90,120,200,100,6
91,120,250,200,13
92,60,150,200,5
93,150,300,150,20
94,150,300,200,4
95,150,300,50,2
96,150,250,200,1
97,150,200,150,9
98,150,150,150,4
99,120,300,50,4
100,30,200,100,1
101,150,350,150,3
102,150,250,50,2
103,30,300,150,1
104,150,350,200,2
105,120,200,200,2
106,90,250,25,23
107,150,250,25,88
108,60,350,25,24
109,30,300,25,11
110,60,200,150,6
111,90,150,50,50
112,60,250,25,10
113,60,350,200,0
114,150,300,100,23
115,120,300,100,4
116,90,300,150,2
117,120,200,150,4
118,60,350,100,1
119,60,200,25,17
120,150,200,100,9
121,90,250,200,28
122,150,200,25,85
123,120,150,50,24
124,120,250,25,62
125,30,250,100,6
126,120,200,25,92
127,30,350,100,9
128,30,300,25,48
129,60,250,100,16
130,60,300,100,6
131,150,200,25,76
132,90,250,150,27
133,120,250,50,27
134,60,300,25,20
135,90,250,100,14
136,150,200,150,17
137,120,300,25,56
138,120,200,50,21
139,30,200,150,2
140,30,150,150,13
141,120,200,200,11
142,120,350,150,7
143,90,350,25,13
144,150,300,150,12
145,120,150,150,14
146,90,250,50,12
147,150,150,100,13
148,60,200,200,17
149,120,250,100,19
150,90,150,25,79
151,90,200,100,33
152,90,150,200,28
153,90,300,150,11
154,60,300,50,7
155,150,250,50,14
156,60,250,200,8
157,60,350,100,3
158,30,250,25,9
159,120,150,200,7
160,90,200,50,10
161,30,350,200,8
162,120,300,200,7
163,90,250,200,13
164,90,350,100,4
165,30,300,50,19
166,120,350,200,15
167,120,250,25,81
168,60,250,50,9
169,60,200,50,7
170,150,150,200,16
171,150,250,150,11
172,60,250,25,1
173,60,150,200,28
174,90,350,150,13
175,120,300,100,12
176,60,350,200,9
177,30,350,150,8
178,90,350,200,5
179,120,350,100,11
180,120,150,100,11
181,150,200,100,12
182,60,150,100,10
183,60,150,50,0
184,30,150,50,2
185,120,200,100,22
186,150,200,50,44
187,30,150,200,0
188,150,300,100,20
189,120,300,150,14
190,60,200,100,9
191,150,250,25,9
192,90,150,150,12
193,120,350,25,54
194,120,300,50,15
195,90,350,50,16
196,30,250,200,4
197,60,150,150,3
198,90,150,50,9
199,30,250,50,4
200,90,250,25,18
201,30,300,150,3
202,150,200,200,5
203,30,350,25,3
204,150,150,25,97
205,60,300,200,6
206,90,150,100,6
207,30,200,25,12
208,120,150,50,16
209,60,350,50,9
210,90,300,50,4
211,30,200,50,8
212,30,150,100,5
213,90,200,150,5
214,60,300,150,5
215,150,150,50,59
216,30,250,150,0
217,90,300,25,1
218,120,350,50,17
219,150,250,100,10
220,60,350,150,7
221,150,350,100,11
222,150,300,50,16
223,120,250,150,9
224,120,250,200,13
225,150,300,25,58
226,150,350,150,18
227,150,250,200,15
228,60,200,150,14
229,120,200,150,15
230,150,300,200,15
231,90,200,25,11
232,90,200,200,30
233,60,250,150,13
234,150,150,150,8
235,150,350,50,19
236,90,300,200,20
237,120,150,25,98
238,60,200,25,12
239,60,150,25,98
240,30,300,100,0
241,30,200,100,1
242,30,150,25,13
243,90,300,100,9
244,30,300,200,2
245,60,350,25,7
246,150,350,200,7
247,30,350,50,7
248,30,200,200,7
249,150,350,25,6
250,150,250,50,7
251,150,150,100,5
252,120,350,100,30
253,150,150,25,85
254,90,300,50,18
255,60,150,150,47
256,30,200,50,32
257,30,250,200,13
258,60,250,50,7
259,120,200,50,28
260,30,200,100,1
261,150,300,25,7
262,120,250,100,22
263,120,350,200,11
264,90,300,100,7
265,30,250,25,9
266,150,150,50,20
267,120,200,25,96
268,150,300,100,9
269,90,200,150,7
270,30,300,25,9
271,60,150,100,16
272,60,350,25,5
273,60,350,100,0
274,90,200,25,96
275,150,300,150,12
276,60,300,100,5
277,90,150,50,7
278,120,200,100,11
279,90,200,100,6
280,90,150,25,87
281,90,250,25,3
282,30,300,100,2
283,30,250,50,5
284,90,200,200,32
285,90,300,200,7
286,150,250,150,4
287,60,200,25,73
288,30,150,50,5
289,120,300,150,12
290,30,350,25,3
291,150,200,150,6
292,90,350,200,3
293,120,250,50,6
294,30,250,150,4
295,120,300,25,2
296,150,350,50,8
297,120,150,100,7
298,90,200,50,10
299,60,300,25,0
300,150,150,150,16
301,60,250,100,4
302,150,350,100,3
303,30,150,200,4
304,30,150,150,5
305,120,200,200,3
306,90,350,150,7
307,120,250,25,83
308,60,300,50,7
309,120,250,200,11
310,150,200,100,17
311,60,200,200,5
312,60,350,150,1
313,90,350,50,3
314,60,250,150,0
315,150,250,25,86
316,30,350,200,7
317,60,150,200,11
318,60,300,150,0
319,120,150,150,8
320,30,300,200,0
321,150,200,200,18
322,90,300,25,11
323,120,350,25,25
324,30,250,100,4
325,150,350,200,5
326,90,350,25,4
327,120,200,150,3
328,60,150,50,2
329,30,350,50,2
330,90,300,150,1
331,60,250,200,2
332,30,300,150,1
333,150,350,25,70
334,90,350,100,9
335,120,150,25,82
336,30,150,100,2
337,150,300,50,14
338,30,200,200,4
339,150,200,25,91
340,90,250,50,16
341,150,250,200,17
342,90,250,150,16
343,60,350,50,2
344,120,300,200,7
345,30,200,150,0
346,60,150,25,95
347,90,150,150,81
348,90,250,200,10
349,120,300,100,9
350,30,350,150,0
351,120,150,50,44
352,150,200,50,18
353,120,300,50,5
354,60,200,50,27
355,90,250,100,17
356,120,250,150,17
357,120,350,150,15
358,30,150,25,80
359,150,250,100,15
360,120,150,200,35
361,150,150,200,33
362,60,250,25,5
363,30,350,100,3
364,60,200,150,6
365,120,350,50,3
366,60,300,200,4
367,60,200,100,6
368,150,350,150,3
369,90,150,200,24
370,30,200,25,2
371,60,350,200,3
372,30,300,50,15
373,150,300,200,6
374,90,150,100,8
