trial,line_length,line_angle,stim_radius,stim_period,rating
0,200,48,220,108,97
1,220,48,220,108,96
2,160,48,220,108,89
3,100,48,220,108,85
4,80,48,220,108,89
5,180,48,220,108,84
6,120,48,220,108,79
7,40,48,220,108,48
8,60,48,220,108,36
9,140,48,220,108,77
10,160,48,220,108,87
11,200,48,220,108,96
12,180,48,220,108,98
13,40,48,220,108,5
14,100,48,220,108,11
15,140,48,220,108,39
16,220,48,220,108,89
17,120,48,220,108,69
18,80,48,220,108,42
19,60,48,220,108,33
20,40,48,220,108,5
21,60,48,220,108,16
22,100,48,220,108,32
23,140,48,220,108,72
24,80,48,220,108,61
25,200,48,220,108,94
26,160,48,220,108,86
27,120,48,220,108,84
28,180,48,220,108,89
29,220,48,220,108,92
30,160,48,220,108,90
31,200,48,220,108,84
32,100,48,220,108,58
33,180,48,220,108,69
34,40,48,220,108,8
35,80,48,220,108,20
36,220,48,220,108,26
37,60,48,220,108,8
38,140,48,220,108,21
39,120,48,220,108,28
40,60,48,220,108,5
41,80,48,220,108,15
42,40,48,220,108,4
43,160,48,220,108,85
44,180,48,220,108,76
45,220,48,220,108,98
46,120,48,220,108,79
47,100,48,220,108,61
48,140,48,220,108,78
49,200,48,220,108,93
50,100,48,220,108,24
51,60,48,220,108,11
52,220,48,220,108,84
53,180,48,220,108,93
54,140,48,220,108,95
55,40,48,220,108,8
56,120,48,220,108,39
57,160,48,220,108,75
58,80,48,220,108,11
59,200,48,220,108,59
60,40,48,220,108,8
61,160,48,220,108,90
62,200,48,220,108,94
63,140,48,220,108,90
64,100,48,220,108,43
65,60,48,220,108,53
66,220,48,220,108,89
67,180,48,220,108,94
68,80,48,220,108,14
69,120,48,220,108,86
70,200,48,220,108,95
71,60,48,220,108,7
72,120,48,220,108,55
73,180,48,220,108,64
74,160,48,220,108,74
75,140,48,220,108,23
76,220,48,220,108,68
77,100,48,220,108,63
78,40,48,220,108,1
79,80,48,220,108,15
80,180,48,220,108,76
81,60,48,220,108,21
82,200,48,220,108,88
83,140,48,220,108,84
84,40,48,220,108,2
85,80,48,220,108,24
86,120,48,220,108,77
87,160,48,220,108,91
88,100,48,220,108,85
89,220,48,220,108,98
90,120,48,220,108,95
91,220,48,220,108,100
92,60,48,220,108,13
93,40,48,220,108,7
94,100,48,220,108,38
95,80,48,220,108,22
96,180,48,220,108,73
97,160,48,220,108,68
98,200,48,220,108,86
99,140,48,220,108,84
100,200,24,220,108,77
101,200,64,220,108,69
102,200,8,220,108,38
103,200,32,220,108,86
104,200,16,220,108,24
105,200,48,220,108,53
106,200,56,220,108,85
107,200,80,220,108,42
108,200,72,220,108,21
109,200,40,220,108,85
110,200,48,220,108,93
111,200,16,220,108,26
112,200,72,220,108,10
113,200,56,220,108,43
114,200,80,220,108,37
115,200,64,220,108,43
116,200,32,220,108,62
117,200,8,220,108,37
118,200,40,220,108,74
119,200,24,220,108,68
120,200,16,220,108,58
121,200,64,220,108,82
122,200,40,220,108,93
123,200,24,220,108,94
124,200,80,220,108,19
125,200,72,220,108,14
126,200,48,220,108,84
127,200,32,220,108,77
128,200,8,220,108,34
129,200,56,220,108,92
130,200,56,220,108,84
131,200,80,220,108,32
132,200,32,220,108,56
133,200,8,220,108,39
134,200,40,220,108,65
135,200,16,220,108,18
136,200,48,220,108,64
137,200,64,220,108,72
138,200,24,220,108,82
139,200,72,220,108,9
140,200,72,220,108,6
141,200,64,220,108,92
142,200,8,220,108,22
143,200,48,220,108,93
144,200,32,220,108,80
145,200,56,220,108,96
146,200,16,220,108,47
147,200,80,220,108,9
148,200,24,220,108,60
149,200,40,220,108,78
150,200,16,220,108,69
151,200,24,220,108,77
152,200,64,220,108,92
153,200,80,220,108,5
154,200,48,220,108,87
155,200,8,220,108,17
156,200,72,220,108,12
157,200,40,220,108,91
158,200,56,220,108,88
159,200,32,220,108,96
160,200,80,220,108,13
161,200,72,220,108,7
162,200,48,220,108,82
163,200,40,220,108,86
164,200,16,220,108,19
165,200,24,220,108,44
166,200,8,220,108,6
167,200,64,220,108,83
168,200,32,220,108,87
169,200,56,220,108,92
170,200,24,220,108,69
171,200,56,220,108,95
172,200,40,220,108,97
173,200,8,220,108,37
174,200,64,220,108,58
175,200,80,220,108,17
176,200,72,220,108,7
177,200,48,220,108,88
178,200,16,220,108,17
179,200,32,220,108,43
180,200,24,220,108,48
181,200,72,220,108,11
182,200,40,220,108,81
183,200,80,220,108,5
184,200,48,220,108,94
185,200,16,220,108,12
186,200,8,220,108,14
187,200,32,220,108,58
188,200,56,220,108,74
189,200,64,220,108,62
190,200,48,220,108,82
191,200,64,220,108,72
192,200,80,220,108,16
193,200,24,220,108,39
194,200,72,220,108,7
195,200,32,220,108,81
196,200,8,220,108,16
197,200,56,220,108,82
198,200,40,220,108,69
199,200,16,220,108,44
200,200,56,280,108,14
201,200,56,250,108,23
202,200,56,340,108,38
203,200,56,310,108,28
204,200,56,370,108,23
205,200,56,220,108,20
206,200,56,340,108,81
207,200,56,310,108,28
208,200,56,220,108,31
209,200,56,250,108,91
210,200,56,280,108,82
211,200,56,370,108,86
212,200,56,280,108,15
213,200,56,340,108,33
214,200,56,250,108,39
215,200,56,370,108,54
216,200,56,310,108,20
217,200,56,220,108,26
218,200,56,280,108,93
219,200,56,250,108,81
220,200,56,220,108,86
221,200,56,310,108,92
222,200,56,370,108,86
223,200,56,340,108,18
224,200,56,370,108,44
225,200,56,310,108,28
226,200,56,250,108,38
227,200,56,220,108,74
228,200,56,340,108,80
229,200,56,280,108,44
230,200,56,220,108,79
231,200,56,340,108,90
232,200,56,310,108,21
233,200,56,370,108,33
234,200,56,280,108,13
235,200,56,250,108,63
236,200,56,370,108,85
237,200,56,280,108,19
238,200,56,220,108,79
239,200,56,250,108,92
240,200,56,310,108,73
241,200,56,340,108,47
242,200,56,280,108,39
243,200,56,340,108,51
244,200,56,220,108,42
245,200,56,370,108,88
246,200,56,310,108,36
247,200,56,250,108,47
248,200,56,370,108,82
249,200,56,220,108,32
250,200,56,250,108,87
251,200,56,340,108,89
252,200,56,280,108,26
253,200,56,310,108,35
254,200,56,310,108,39
255,200,56,340,108,26
256,200,56,370,108,29
257,200,56,220,108,19
258,200,56,280,108,89
259,200,56,250,108,83
260,200,56,250,90,25
261,200,56,250,180,21
262,200,56,250,108,26
263,200,56,250,54,30
264,200,56,250,36,26
265,200,56,250,162,51
266,200,56,250,72,46
267,200,56,250,126,52
268,200,56,250,18,27
269,200,56,250,144,39
270,200,56,250,36,35
271,200,56,250,162,67
272,200,56,250,18,28
273,200,56,250,144,60
274,200,56,250,108,48
275,200,56,250,72,53
276,200,56,250,90,60
277,200,56,250,180,45
278,200,56,250,126,51
279,200,56,250,54,33
280,200,56,250,180,84
281,200,56,250,144,59
282,200,56,250,108,70
283,200,56,250,162,50
284,200,56,250,126,56
285,200,56,250,72,68
286,200,56,250,18,25
287,200,56,250,36,34
288,200,56,250,90,68
289,200,56,250,54,54
290,200,56,250,126,68
291,200,56,250,144,75
292,200,56,250,36,35
293,200,56,250,180,52
294,200,56,250,72,35
295,200,56,250,54,43
296,200,56,250,108,50
297,200,56,250,162,35
298,200,56,250,18,22
299,200,56,250,90,28
300,200,56,250,36,23
301,200,56,250,72,57
302,200,56,250,180,46
303,200,56,250,162,43
304,200,56,250,144,59
305,200,56,250,126,63
306,200,56,250,18,24
307,200,56,250,54,41
308,200,56,250,90,52
309,200,56,250,108,25
310,200,56,250,90,31
311,200,56,250,162,26
312,200,56,250,36,24
313,200,56,250,54,45
314,200,56,250,126,41
315,200,56,250,18,25
316,200,56,250,108,67
317,200,56,250,72,62
318,200,56,250,144,30
319,200,56,250,180,36
320,200,56,250,90,60
321,200,56,250,36,57
322,200,56,250,126,66
323,200,56,250,180,55
324,200,56,250,108,50
325,200,56,250,72,55
326,200,56,250,144,59
327,200,56,250,162,70
328,200,56,250,54,57
329,200,56,250,18,8
330,200,56,250,90,51
331,200,56,250,18,10
332,200,56,250,162,73
333,200,56,250,72,67
334,200,56,250,54,64
335,200,56,250,126,72
336,200,56,250,180,56
337,200,56,250,108,62
338,200,56,250,144,43
339,200,56,250,36,34
340,200,56,250,54,45
341,200,56,250,108,41
342,200,56,250,18,32
343,200,56,250,180,76
344,200,56,250,144,68
345,200,56,250,162,64
346,200,56,250,72,73
347,200,56,250,90,70
348,200,56,250,36,42
349,200,56,250,126,47
350,200,56,250,108,44
351,200,56,250,36,34
352,200,56,250,180,27
353,200,56,250,54,42
354,200,56,250,126,35
355,200,56,250,162,32
356,200,56,250,18,12
357,200,56,250,72,68
358,200,56,250,90,65
359,200,56,250,144,86
